Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
30-06-2022,2,846,2 out of 4,Carpet Area,Ramachandrapuram Rajajinagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,22000
29-06-2022,2,1100,1 out of 3,Super Area,Kyalasanahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,14000
08-07-2022,2,700,1 out of 2,Carpet Area,"Chamundeshwari Layout, Arakere",Bangalore,Semi-Furnished,Family,1,Contact Owner,12000
26-06-2022,2,110,1 out of 1,Carpet Area,Kengeri,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,10000
29-04-2022,3,900,Ground out of 1,Super Area,Kalyan Nagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,25000
07-07-2022,1,420,17 out of 18,Carpet Area,Haralur Road,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,25000
20-06-2022,2,800,1 out of 4,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
08-07-2022,3,1500,3 out of 4,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,60000
04-06-2022,1,900,3 out of 4,Super Area,Vijayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7000
27-05-2022,3,1600,1 out of 4,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,21000
31-05-2022,4,5700,24 out of 25,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,250000
09-07-2022,1,625,2 out of 4,Carpet Area,"Hsr Layout Sector 2, HSR Layout",Bangalore,Unfurnished,Bachelors,1,Contact Agent,19000
29-04-2022,4,1760,1 out of 4,Carpet Area,Sun City Layout,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,42500
19-05-2022,2,600,Ground out of 3,Super Area,Nagarbhavi,Bangalore,Furnished,Bachelors,1,Contact Owner,11000
19-05-2022,2,1200,3 out of 4,Super Area,Annapurneshwari Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
19-05-2022,1,300,2 out of 4,Super Area,Ragavendra Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4300
04-06-2022,2,900,2 out of 4,Super Area,Attiguppe,Bangalore,Furnished,Family,1,Contact Owner,9000
27-05-2022,1,450,1 out of 2,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7000
12-06-2022,2,1050,2 out of 2,Carpet Area,"Mcechs Layout, Jakkuru",Bangalore,Semi-Furnished,Family,2,Contact Owner,15000
07-05-2022,1,580,Ground out of 1,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4800
10-06-2022,2,600,Ground out of 3,Carpet Area,Kalkere,Bangalore,Unfurnished,Bachelors,2,Contact Owner,15000
20-06-2022,1,550,3 out of 6,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,18000
20-06-2022,2,1115,1 out of 4,Super Area,"Abbiareddy Layout, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,22500
23-06-2022,1,300,2 out of 3,Carpet Area,Yemalur,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
30-05-2022,2,1200,1 out of 3,Carpet Area,Abbigere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
06-07-2022,1,900,3 out of 5,Carpet Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,9000
23-05-2022,3,1400,1 out of 7,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,25000
23-05-2022,1,400,1 out of 3,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9000
23-05-2022,2,900,3 out of 4,Super Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
19-05-2022,1,500,Ground out of 3,Super Area,Seshadripuram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12500
05-07-2022,3,1360,1 out of 4,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,21000
14-05-2022,3,1110,3 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17681
23-05-2022,3,2400,3 out of 4,Super Area,Virupakshapura,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,28000
06-07-2022,3,1700,19 out of 26,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,30000
16-06-2022,2,980,17 out of 19,Super Area,Mysore Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,25000
27-06-2022,2,600,1 out of 2,Super Area,Ramaswami Palya kammanhalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
15-05-2022,2,200,2 out of 2,Carpet Area,"Mallathahalli, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,8000
09-07-2022,3,1300,3 out of 4,Carpet Area,Benson Town,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,35000
19-05-2022,1,750,Ground out of 3,Super Area,K R Puram,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
19-05-2022,2,850,2 out of 4,Super Area,Cox Town,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,10000
19-05-2022,1,600,3 out of 4,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11500
09-07-2022,4,3100,9 out of 22,Super Area,"Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,140000
21-06-2022,2,660,2 out of 3,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors,1,Contact Owner,6000
24-05-2022,2,600,1 out of 3,Carpet Area,Battarahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
04-06-2022,1,250,2 out of 3,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4000
27-05-2022,2,1200,Ground out of 2,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,14000
09-07-2022,2,630,2 out of 5,Carpet Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,24000
23-05-2022,2,840,1 out of 3,Super Area,"Dooravani Nagar, Dooravani Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
23-05-2022,2,500,Upper Basement out of 4,Carpet Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,10000
31-05-2022,3,1680,4 out of 15,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,62000
23-06-2022,2,775,2 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,12000
19-05-2022,2,1000,3 out of 4,Super Area,Basaveshwara Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
19-05-2022,2,900,Ground out of 2,Super Area,Hebbal Kempapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17500
08-06-2022,1,500,2 out of 5,Super Area,Aduru,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
20-06-2022,1,550,2 out of 5,Carpet Area,Chinnapanna Halli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,16000
20-06-2022,3,1250,15 out of 18,Carpet Area,Begur Road,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,30000
09-06-2022,2,850,2 out of 6,Carpet Area,"Nanja Reddy Colony, Jeevan Bima Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,28000
30-05-2022,1,150,1 out of 2,Super Area,"Subhash Nagar, Kengeri Satellite Town",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
23-06-2022,1,445,1 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9000
08-07-2022,2,500,2 out of 3,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,8500
21-05-2022,2,750,2 out of 3,Carpet Area,"Venkateshappa Layout-Kammanahalli, Kammanahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
02-07-2022,3,2000,1 out of 2,Carpet Area,"Rbi Colony-Jayanagar, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,26000
05-05-2022,1,500,1 out of 3,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
05-05-2022,1,730,2 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8500
24-06-2022,2,750,1 out of 4,Super Area,Neelasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12500
16-06-2022,1,600,3 out of 4,Super Area,Ramagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
09-07-2022,3,2710,4 out of 7,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,52000
12-06-2022,2,1190,3 out of 4,Carpet Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,18000
07-07-2022,1,435,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,15000
29-04-2022,2,750,1 out of 3,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,12000
27-05-2022,3,1800,2 out of 4,Carpet Area,Bilal Nagar-Sagayapura,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,100000
14-06-2022,1,1200,3 out of 5,Carpet Area,Lakshmipura,Bangalore,Furnished,Bachelors,1,Contact Owner,6000
05-05-2022,2,600,2 out of 3,Super Area,Btm Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
11-05-2022,1,450,2 out of 2,Super Area,Mathikere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,6500
16-06-2022,3,1100,3 out of 5,Super Area,Kudlu Gate,Bangalore,Unfurnished,Family,3,Contact Owner,13500
30-06-2022,1,700,1 out of 1,Super Area,Nagarbhavi,Bangalore,Unfurnished,Bachelors,1,Contact Owner,10000
04-06-2022,2,650,8 out of 8,Carpet Area,Attibele,Bangalore,Furnished,Family,2,Contact Owner,8500
27-06-2022,3,1768,8 out of 13,Super Area,Yelahanka,Bangalore,Semi-Furnished,Family,3,Contact Agent,32000
20-06-2022,3,1600,3 out of 5,Carpet Area,"Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Family,3,Contact Agent,42000
05-05-2022,1,400,2 out of 4,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
23-05-2022,2,1200,1 out of 4,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
10-05-2022,1,500,2 out of 4,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
04-07-2022,2,700,1 out of 2,Super Area,C V Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,14000
15-05-2022,4,2500,1 out of 2,Super Area,Basaveshvara Nagar,Bangalore,Semi-Furnished,Family,4,Contact Owner,60000
23-06-2022,1,500,2 out of 4,Super Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8500
26-05-2022,1,500,Ground out of 3,Carpet Area,snv la,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
30-04-2022,1,500,1 out of 2,Super Area,"Rmv Extension, Armane Nagar",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,8500
05-05-2022,2,1280,Ground out of 5,Carpet Area,"Ittamadu, Banashankari, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,15000
16-05-2022,2,200,Ground out of 2,Carpet Area,Kengeri Upanagara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
12-06-2022,2,750,4 out of 5,Carpet Area,Koramangala,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent,25000
07-07-2022,2,900,2 out of 3,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,14000
05-05-2022,3,1200,Ground out of 2,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
05-07-2022,1,800,1 out of 1,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,10000
10-05-2022,2,500,2 out of 4,Carpet Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Unfurnished,Bachelors,1,Contact Owner,10000
29-04-2022,2,1000,Ground out of 3,Super Area,"Jayanti Nagar, Hormavu",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
02-07-2022,2,850,Lower Basement out of 2,Carpet Area,Sun City Layout,Bangalore,Semi-Furnished,Family,2,Contact Owner,13000
12-06-2022,2,900,2 out of 5,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,24000
04-07-2022,1,600,3 out of 4,Super Area,"State Bank Of India Colony, Hegganahalli",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
04-07-2022,1,600,2 out of 4,Super Area,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
04-07-2022,1,600,1 out of 4,Super Area,Begur,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,6000
04-07-2022,3,1250,Ground out of 1,Super Area,Margondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,21000
23-05-2022,3,2000,1 out of 1,Super Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,25000
19-05-2022,2,532,1 out of 2,Carpet Area,Tannery Road,Bangalore,Unfurnished,Bachelors,1,Contact Owner,8500
08-06-2022,2,1000,1 out of 4,Super Area,Whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,13000
20-06-2022,1,150,2 out of 3,Super Area,Rajarajeshwari Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,5000
23-05-2022,1,500,1 out of 4,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
04-07-2022,1,600,1 out of 4,Carpet Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,13900
22-05-2022,2,1100,3 out of 3,Carpet Area,Uttarahalli,Bangalore,Furnished,Bachelors,2,Contact Owner,15000
27-05-2022,3,1500,4 out of 4,Carpet Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,30000
06-07-2022,2,500,2 out of 5,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,13000
29-04-2022,1,600,1 out of 2,Carpet Area,Sir M V Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7700
14-05-2022,2,1200,5 out of 12,Super Area,Yelahanka,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,25000
06-07-2022,2,1100,1 out of 4,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17000
07-07-2022,3,1550,1 out of 13,Carpet Area,Hennur Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,39000
02-07-2022,2,1050,1 out of 3,Carpet Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
05-05-2022,1,500,1 out of 2,Super Area,Shanti Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
05-05-2022,2,1500,1 out of 4,Super Area,Shivaji Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,28000
24-06-2022,2,1150,3 out of 4,Carpet Area,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,Semi-Furnished,Family,2,Contact Agent,17500
23-05-2022,4,2000,Ground out of 2,Super Area,Hsr Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,75000
11-05-2022,2,110,1 out of 2,Carpet Area,RT Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,14000
29-04-2022,1,500,3 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9000
08-06-2022,3,1465,2 out of 4,Super Area,Sunkadakatte,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,20000
04-06-2022,2,940,2 out of 5,Carpet Area,"Attur Layout, Yelahanka New Town",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
23-05-2022,2,850,Ground out of 4,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
02-07-2022,2,990,14 out of 30,Carpet Area,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,24000
20-06-2022,2,750,Ground out of 3,Super Area,BBMP convertion layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
20-06-2022,1,500,2 out of 3,Super Area,Garvebhavi Palya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
16-06-2022,3,1430,2 out of 3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,24000
08-06-2022,1,600,3 out of 4,Carpet Area,"Chelekare, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Family,1,Contact Owner,9000
11-06-2022,2,900,1 out of 2,Carpet Area,"Jeevanhalli, Cox Town",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
29-04-2022,2,1100,Ground out of 2,Super Area,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,11000
29-04-2022,2,900,1 out of 3,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
23-05-2022,1,600,2 out of 3,Super Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5500
23-06-2022,2,1000,Ground out of 4,Carpet Area,Kudlu Gate,Bangalore,Semi-Furnished,Family,2,Contact Owner,18000
06-07-2022,2,1150,2 out of 4,Carpet Area,Koramangala,Bangalore,Furnished,Bachelors,2,Contact Agent,42000
29-04-2022,2,1250,1 out of 4,Super Area,"Devarachikannahalli, Begur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
29-04-2022,2,1000,1 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
04-06-2022,1,500,2 out of 3,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
14-05-2022,3,2000,1 out of 1,Super Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,30000
30-04-2022,2,850,Ground out of 2,Super Area,Choodasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
28-06-2022,2,990,Ground out of 2,Carpet Area,"Hbr Layout Block 2, HBR Layout",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
27-06-2022,2,850,1 out of 2,Carpet Area,Raghavendra Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,9500
05-05-2022,2,1000,4 out of 5,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
23-06-2022,2,650,4 out of 5,Super Area,Nagvarpalya Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9500
16-06-2022,1,400,2 out of 2,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
03-06-2022,2,1000,2 out of 2,Carpet Area,Mylasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13500
29-04-2022,2,1350,12 out of 13,Super Area,Doddaballapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,25000
23-05-2022,2,600,2 out of 3,Super Area,Hbr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9500
08-06-2022,4,4000,Ground out of 2,Super Area,Koramangala,Bangalore,Furnished,Bachelors/Family,5,Contact Owner,190000
28-06-2022,2,950,4 out of 5,Carpet Area,Aarna Enclave,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,90000
30-06-2022,2,777,4 out of 8,Carpet Area,Yelahanka,Bangalore,Semi-Furnished,Family,2,Contact Agent,24000
23-06-2022,3,1200,2 out of 4,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
10-05-2022,2,1600,Ground out of 2,Super Area,Kodigehalli,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,22000
20-06-2022,3,1500,14 out of 20,Carpet Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,34000
06-06-2022,2,570,1 out of 3,Super Area,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12500
03-07-2022,3,1800,18 out of 19,Carpet Area,Mysore Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,28000
04-07-2022,2,1100,1 out of 3,Super Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
23-06-2022,1,400,Ground out of 2,Super Area,"Lingarajapuram, Lingarajapuram, Hennur Main Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
11-06-2022,1,750,1 out of 1,Carpet Area,Bettadasanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
03-06-2022,2,1400,5 out of 5,Carpet Area,HRBR Layout Block 1,Bangalore,Furnished,Bachelors,2,Contact Agent,34000
27-06-2022,3,1789,8 out of 13,Super Area,Yelahanka,Bangalore,Semi-Furnished,Family,3,Contact Agent,32000
23-05-2022,2,650,1 out of 2,Carpet Area,"Maruthi Nagar-Kaggadasapura, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,14500
29-04-2022,2,1200,2 out of 4,Super Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
29-04-2022,1,460,3 out of 4,Super Area,Singahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
24-06-2022,2,500,1 out of 2,Carpet Area,"Kammagondahalli, Jalahalli",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
06-07-2022,2,1080,Ground out of 2,Carpet Area,Bda Layout -Lingarajapuram,Bangalore,Semi-Furnished,Family,2,Contact Owner,19500
10-06-2022,3,2000,1 out of 5,Carpet Area,Dhobi Ghat- Rajajinagar,Bangalore,Furnished,Bachelors,2,Contact Agent,75000
06-07-2022,2,1100,2 out of 3,Super Area,Hbr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16500
01-06-2022,2,1025,8 out of 9,Super Area,Chandapura,Bangalore,Unfurnished,Bachelors,2,Contact Owner,14500
27-06-2022,2,650,Ground out of 3,Carpet Area,"Aradhana Layout, Arakere",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,16000
23-05-2022,2,800,1 out of 3,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
06-07-2022,3,2800,6 out of 30,Carpet Area,Rajajinagar,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,280000
19-05-2022,2,1100,3 out of 4,Carpet Area,Hennur Main Road,Bangalore,Furnished,Bachelors,2,Contact Agent,21000
19-05-2022,3,1300,2 out of 4,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,30000
16-06-2022,3,2000,3 out of 6,Super Area,Frazer Town,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,65000
16-06-2022,3,2500,4 out of 8,Carpet Area,Mahatma Gandhi Road,Bangalore,Unfurnished,Bachelors,3,Contact Agent,180000
08-06-2022,2,600,2 out of 4,Super Area,Hommadevanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
07-07-2022,2,630,3 out of 5,Super Area,Whitefield,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,12000
07-07-2022,2,550,Ground out of 2,Super Area,Hosakerehalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,9000
01-06-2022,2,1025,3 out of 3,Super Area,Basaveshvara Nagar,Bangalore,Semi-Furnished,Family,2,Contact Owner,22000
08-05-2022,1,500,1 out of 4,Carpet Area,Kadugodi Pattalamma Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,10000
25-05-2022,3,1286,8 out of 16,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,48000
22-06-2022,1,800,Ground out of 4,Super Area,Adugodi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
09-06-2022,2,900,1 out of 3,Super Area,"Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,11000
23-06-2022,3,1618,2 out of 4,Super Area,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,40000
08-06-2022,1,500,2 out of 5,Super Area,Marathahalli-Sarjapur Outer Ring Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
27-06-2022,1,450,Ground out of 2,Carpet Area,Garden City University,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
29-04-2022,2,850,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
07-07-2022,3,1374,Ground out of 16,Super Area,Kanakapura Road,Bangalore,Semi-Furnished,Family,2,Contact Agent,22000
30-05-2022,3,1600,2 out of 4,Super Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,28000
10-06-2022,1,400,2 out of 3,Super Area,Nagarbhavi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6200
12-06-2022,3,1500,6 out of 16,Carpet Area,Hebbal,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,110000
15-06-2022,2,800,1 out of 4,Super Area,Kengeri Hobli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,5500
21-05-2022,3,1580,3 out of 3,Carpet Area,Koramangala 8Th Block,Bangalore,Unfurnished,Bachelors,3,Contact Agent,50000
23-06-2022,2,700,Ground out of 2,Carpet Area,Agrahara Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
08-05-2022,2,700,Ground out of 2,Super Area,Sadashiva Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11500
20-06-2022,1,550,1 out of 7,Carpet Area,"Doddanekundi, Kartik Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,16000
16-06-2022,1,450,4 out of 4,Carpet Area,Krishna Reddy Layout -Domlur,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,11000
